Date,Name,Value
2021-08-06,PNC Checking,592.63
2021-08-06,BOA Checking,78.92
2021-08-06,Achieva Checking,1215.44
2021-08-06,Achieva Savings,1001.98
2021-08-13,PNC Checking,837.31
2021-08-13,BOA Checking,391.53
2021-08-13,Achieva Checking,1357.76
2021-08-13,Achieva Savings,1001.98
2021-08-20,PNC Checking,992.99
2021-08-20,BOA Checking,231.10
2021-08-20,Achieva Checking,1178.87
2021-08-20,Achieva Savings,1001.98
2021-08-28,PNC Checking,1148.67
2021-08-28,BOA Checking,70.66
2021-08-28,Achieva Checking,999.98
2021-08-28,Achieva Savings,1001.98
2021-09-03,PNC Checking,1695.15
2021-09-03,BOA Checking,114.36
2021-09-03,Achieva Checking,1193.39
2021-09-03,Achieva Savings,1002.01
